"Language","domain","Stimulus.code","simpson.diversityIndex","shannon.diversityIndex","N","BnL.diversityIndex","mean.number.of.words"
"ASL","colour","colour.10B 2/6",0.705128205128205,0.535961049709069,3,28,2.84615384615385
"ASL","colour","colour.10B 4/10",1,0,1,32,1.92307692307692
"ASL","colour","colour.10B 6/10",1,0,1,32,1.61538461538462
"ASL","colour","colour.10B 8/6",0.846153846153846,0.271189373041844,2,30,2.61538461538462
"ASL","colour","colour.10BG 2/6",0.717948717948718,0.429323021930616,2,29,2.69230769230769
"ASL","colour","colour.10BG 4/6",0.128205128205128,1.69773359137439,6,17,2.46153846153846
"ASL","colour","colour.10BG 6/8",0.371794871794872,1.17865499634165,5,23,1.69230769230769
"ASL","colour","colour.10BG 8/4",0.474358974358974,0.937155853065701,4,25,3.15384615384615
"ASL","colour","colour.10G 2/6",0.58974358974359,0.687092027379972,3,27,2.15384615384615
"ASL","colour","colour.10G 4/10",0.846153846153846,0.271189373041844,2,30,1.07692307692308
"ASL","colour","colour.10G 6/10",1,0,1,32,2.30769230769231
"ASL","colour","colour.10G 8/6",0.461538461538462,1.04379388084415,5,24,3.07692307692308
"ASL","colour","colour.10GY 2/4",0.474358974358974,0.937155853065701,4,25,3.53846153846154
"ASL","colour","colour.10GY 4/8",0.846153846153846,0.271189373041844,2,30,1.69230769230769
"ASL","colour","colour.10GY 6/12",1,0,1,32,2.69230769230769
"ASL","colour","colour.10GY 8/8",1,0,1,32,2.30769230769231
"ASL","colour","colour.10P 2/6",1,0,1,32,2.38461538461538
"ASL","colour","colour.10P 4/12",1,0,1,32,1.15384615384615
"ASL","colour","colour.10P 6/10",0.474358974358974,0.937155853065701,4,25,1.69230769230769
"ASL","colour","colour.10P 8/6",1,0,1,32,2.38461538461538
"ASL","colour","colour.10PB 2/10",1,0,1,32,1.61538461538462
"ASL","colour","colour.10PB 4/12",0.846153846153846,0.271189373041844,2,30,1.92307692307692
"ASL","colour","colour.10PB 6/10",1,0,1,32,2.61538461538462
"ASL","colour","colour.10PB 8/4",0.576923076923077,0.793730055158425,4,26,2.53846153846154
"ASL","colour","colour.10R 2/6",0.576923076923077,0.793730055158425,4,26,1.84615384615385
"ASL","colour","colour.10R 4/12",0.474358974358974,0.937155853065701,4,25,2
"ASL","colour","colour.10R 6/14",0.58974358974359,0.687092027379972,3,27,2.30769230769231
"ASL","colour","colour.10R 8/6",0.179487179487179,1.5857708352081,6,19,1.69230769230769
"ASL","colour","colour.10RP 2/8",0.128205128205128,1.69773359137439,6,17,2.07692307692308
"ASL","colour","colour.10RP 4/14",0.294871794871795,1.30387552933639,5,22,2
"ASL","colour","colour.10RP 6/12",0.705128205128205,0.535961049709069,3,28,2.23076923076923
"ASL","colour","colour.10RP 8/6",0.705128205128205,0.535961049709069,3,28,1.07692307692308
"ASL","colour","colour.10Y 2/2",0.846153846153846,0.271189373041844,2,30,1.15384615384615
"ASL","colour","colour.10Y 4/6",1,0,1,32,2.61538461538462
"ASL","colour","colour.10Y 6/10",1,0,1,32,2.76923076923077
"ASL","colour","colour.10Y 8/12",0.474358974358974,0.937155853065701,4,25,2.46153846153846
"ASL","colour","colour.10YR 2/2",0.487179487179487,0.666278442414676,2,26,2.23076923076923
"ASL","colour","colour.10YR 4/8",0.705128205128205,0.535961049709069,3,28,1.84615384615385
"ASL","colour","colour.10YR 6/12",0.0897435897435897,2.03175921856927,9,15,2.38461538461538
"ASL","colour","colour.10YR 8/14",0.5,0.79026796807459,3,26,1.61538461538462
"ASL","colour","colour.5B 2/6",0.705128205128205,0.535961049709069,3,28,2.46153846153846
"ASL","colour","colour.5B 4/10",0.846153846153846,0.271189373041844,2,30,2.92307692307692
"ASL","colour","colour.5B 6/10",1,0,1,32,2.53846153846154
"ASL","colour","colour.5B 8/4",0.846153846153846,0.271189373041844,2,30,2.07692307692308
"ASL","colour","colour.5BG 2/6",0.307692307692308,1.19723750155793,4,23,2.69230769230769
"ASL","colour","colour.5BG 4/8",0.705128205128205,0.535961049709069,3,28,2.46153846153846
"ASL","colour","colour.5BG 6/10",0.217948717948718,1.41274463686385,5,20,2.38461538461538
"ASL","colour","colour.5BG 8/4",0.141025641025641,1.67159527802125,6,18,2.38461538461538
"ASL","colour","colour.5G 2/6",0.58974358974359,0.687092027379972,3,27,3.23076923076923
"ASL","colour","colour.5G 4/10",1,0,1,32,1.30769230769231
"ASL","colour","colour.5G 6/10",0.846153846153846,0.271189373041844,2,30,2.38461538461538
"ASL","colour","colour.5G 8/6",0.846153846153846,0.271189373041844,2,30,2.76923076923077
"ASL","colour","colour.5GY 2/2",0.397435897435897,1.03176711135054,4,24,1.84615384615385
"ASL","colour","colour.5GY 4/8",1,0,1,32,1.92307692307692
"ASL","colour","colour.5GY 6/10",0.846153846153846,0.271189373041844,2,30,1.61538461538462
"ASL","colour","colour.5GY 8/10",0.58974358974359,0.687092027379972,3,27,1.92307692307692
"ASL","colour","colour.5P 2/8",1,0,1,32,2.69230769230769
"ASL","colour","colour.5P 4/12",1,0,1,32,1.23076923076923
"ASL","colour","colour.5P 6/8",1,0,1,32,1.76923076923077
"ASL","colour","colour.5P 8/4",0.576923076923077,0.793730055158425,4,26,2.76923076923077
"ASL","colour","colour.5PB 2/8",1,0,1,32,2.30769230769231
"ASL","colour","colour.5PB 4/12",1,0,1,32,1.61538461538462
"ASL","colour","colour.5PB 6/10",1,0,1,32,2.76923076923077
"ASL","colour","colour.5PB 8/6",1,0,1,32,2.46153846153846
"ASL","colour","colour.5R 2/8",0.217948717948718,1.41274463686385,5,20,1.92307692307692
"ASL","colour","colour.5R 4/14",0.846153846153846,0.271189373041844,2,30,1.61538461538462
"ASL","colour","colour.5R 6/12",0.282051282051282,1.41051355711484,6,21,2.38461538461538
"ASL","colour","colour.5R 8/6",0.58974358974359,0.687092027379972,3,27,1.92307692307692
"ASL","colour","colour.5RP 2/8",1,0,1,32,2.53846153846154
"ASL","colour","colour.5RP 4/12",0.217948717948718,1.52470739303014,6,20,2.38461538461538
"ASL","colour","colour.5RP 6/12",1,0,1,32,3.76923076923077
"ASL","colour","colour.5RP 8/6",1,0,1,32,1.76923076923077
"ASL","colour","colour.5Y 2/2",0.846153846153846,0.271189373041844,2,30,1.38461538461538
"ASL","colour","colour.5Y 4/6",0.230769230769231,1.48445753581749,6,20,2
